id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Echoes,DJ Phantom,hip-hop,energetic,0.85,95,0.72,0.90,0.08
12,Velvet Hours,Sable Rose,r&b,romantic,0.55,88,0.78,0.74,0.42
13,Morning Sonata,Clara Voss,classical,peaceful,0.18,52,0.68,0.22,0.97
14,Iron Storm,Razorgate,metal,aggressive,0.97,168,0.28,0.44,0.04
15,Dusty Backroads,The Hollow Pines,country,nostalgic,0.52,96,0.73,0.61,0.76
16,Groove Machine,Static Brass,funk,uplifting,0.80,108,0.88,0.93,0.14
17,Digital Tears,Synthcore,electronic,melancholic,0.70,128,0.32,0.82,0.06
18,Sunday Morning Soul,Velvet Jones,soul,tender,0.38,68,0.75,0.48,0.81
19,Delta Cross,Blue River Band,blues,sad,0.45,74,0.34,0.52,0.88
20,Wildflower Walk,June & The Sparrows,folk,dreamy,0.33,84,0.76,0.55,0.83
